Name,Data Type
@GV.A_NO_CAPS1,BOOL
@GV.A_NO_CAPS2,BOOL
@GV.A_NO_CAPS3,BOOL
@GV.A_NO_CAPS4,BOOL
@GV.A_NO_CAPS5,BOOL
@GV.A_NO_CAPS6,BOOL
@GV.DISK_START,BOOL
@GV.HMI_TIME_FILL_UP,TIME
@GV.rValueForCPRegulator,REAL
@GV.EvacDrainTOF,BOOL
@GV.tDrainTime,TIME
@GV.IB_1,BOOL
@GV.BOTTLE1_FULL,BOOL
@GV.OBE_ALL_MAN,BOOL
@GV.PRESSURE_BOTTLE,REAL
@GV.PRESSURE_IN,REAL
@GV.BOTTLE1_mL,DINT
@GV.BOTTLE2_FULL,BOOL
@GV.BOTTLE3_FULL,BOOL
@GV.BOTTLE4_FULL,BOOL
@GV.BOTTLE5_mL,DINT
@GV.BOTTLE5_FULL,BOOL
@GV.BOTTLE6_mL,DINT
@GV.BOTTLE6_FULL,BOOL
@GV.BOTTLE2_mL,DINT
@GV.BOTTLE3_mL,DINT
@GV.BOTTLE4_mL,DINT
@GV.iSelectedBaselineBottle,INT
@GV.rRegulationVent,REAL
@GV.rCPressFastFillDiff,REAL
@GV.rCPressExit,REAL
@GV.rStartToFillDiff,REAL
@GV.tTimeToEvacHoses,TIME
@GV.rTVent1From,REAL
@GV.rTVent2To,REAL
@GV.rTVent1To,REAL
@GV.rTVent3To,REAL
@GV.tTVent1Time,TIME
@GV.tTVent3Time,TIME
@GV.tTVent2Time,TIME
@GV.rFillLevelBLBottle,REAL
@GV.sFillingMessages,STRING(80)
@GV.bDoFillingByPass,BOOL
@GV.bFillingBypass_Started,BOOL
@GV.tInfeedCylinderWait,TIME
@GV.tInfeedBottleCollectionTimer,TIME
@GV.rNoFoamingPressure,REAL
@GV.OF_1_MAN,BOOL
@GV.OC_1_MAN,BOOL
@GV.OP_1_MAN,BOOL
@GV.OL_1_MAN,BOOL
@GV.OCO_1_MAN,BOOL
@GV.OBE_1_MAN,BOOL
@GV.OBE_2_MAN,BOOL
@GV.OBE_3_MAN,BOOL
@GV.OBE_4_MAN,BOOL
@GV.OBE_5_MAN,BOOL
@GV.OBE_6_MAN,BOOL
@GV.ONP_1_MAN,BOOL
@GV.OCM_1_MAN,BOOL
@GV.OCS_1_MAN,BOOL
@GV.START_AUTO,BOOL
@GV.START,BOOL
@GV.STOPP,BOOL
@GV.AUTO,BOOL
@GV.PLCMODE_FYLL,BOOL
@GV.INM_STEG_2,BOOL
@GV.DemoMode,BOOL
@GV.iIterationsForStartupSequence,INT
@GV.iStartupVentingMode,INT
@GV.KAP_STEG_1_TIME,TIME
@GV.KAP_STEG_2_TIME,TIME
@GV.KAP_STEG_3_TIME,TIME
@GV.KAP_STEG_4_TIME,TIME
@GV.KAP_STEG_5_TIME,TIME
@GV.KAP_STEG_7_TIME,TIME
@GV.KAP_STEG_8_TIME,TIME
@GV.KAP_STEG_9_TIME,TIME
@GV.KAP_STEG_10_TIME,TIME
@GV.tShortCappingTime,TIME
Task_fyllning.iDefaultVentingMode,INT
Main.tLastCycleTime,TIME
Main.tElapsedFillTime,TIME
